# Modal-framework frames index. Tab-separated; `#` lines are comments.
#
# GENERATED — do not edit. Every row is derived from the `Modal Framework` pantry group, so the
# index cannot drift from the frames the way a hand-kept list did (see
# `views::modal_framework::index` for the failure that motivated it).
#
# REGENERATE
#   cargo run -q -p wqm-tui --features png-capture,tui-pantry --example mf_frames -- --tsv \
#     > MF-ROUND2-FRAMES.tsv
#
# REPRODUCE A FRAME
#   PNG (all of them):  cargo run -p wqm-tui --features png-capture,tui-pantry \
#                         --example mf_frames -- out/          -> out/<name>.png
#   grid / ANSI (one):  cargo pantry dump "Modal Framework" --variant "<variant>" \
#                         --size <size> > <name>.ans
#   browse:             cargo pantry          (Views tab, group "Modal Framework")
#
# Both instruments render the SAME pantry variant, so they cannot disagree about what was
# drawn. Judge COLOUR from the PNG and GLYPHS/ATTRIBUTES from the grid — png-capture drops
# the `●` radio glyph (wqm#283), U+E0B0 is invisible in most text views, and no still image
# can show SLOW_BLINK.
#
# The theme is Catppuccin Mocha unless the variant says otherwise.
#
name	size	pantry variant	what it shows
mf-08-tint-held-on-catppuccin-latte	125x34	08 tint — held, on Catppuccin Latte (light)	A light theme, where the ladder runs the other way — the case a design measured only on Mocha cannot see
mf-09-fields-view-mode-black-on-the-cursor-row	125x34	09 fields — view mode, black on the cursor row	The selected field takes the table's own block and its text goes black bold, which ruling 7 already gave it
mf-10-fields-tick-box-the-two-states-side-by-side	125x34	10 fields — tick box, the two states side by side	Space toggles it, and the mark is a SHAPE — `[✓] yes` against `[ ] no` — so the state survives a terminal that refuses colour (r06 #8)
mf-11-fields-edit-mode-fill-alone-125x34	125x34	11 fields — edit mode, fill alone	PROPOSED. The underline gone, the SET carried by the fill, and the ACTIVE field derived light enough to carry black text
mf-11-fields-edit-mode-fill-alone-100x30	100x30	11 fields — edit mode, fill alone	PROPOSED. The underline gone, the SET carried by the fill, and the ACTIVE field derived light enough to carry black text
mf-12-fields-radio-on-one-row	125x34	12 fields — radio on one row (A)	The active button BOLD and the rest normal; h/l or left/right move within the field
mf-13-fields-the-same-radio-as-a-column	125x34	13 fields — the same radio as a column (B)	The whole column takes the highlight, one choice per row, and j/k move within it
mf-14-fields-drop-down-open-no-frame	125x34	14 fields — drop-down open, no frame	Item 3: the frame gone, every other field's highlight gone, the current value first and the rest sorted under it
mf-15-fields-drop-down-fuzzy-filter-typed	125x34	15 fields — drop-down, fuzzy filter typed	`ts` typed: the list narrows by subsequence, and the cursor is on the best match rather than on a value that may no longer be in the list
mf-16-fields-single-line-vim-insert	125x34	16 fields — single line, vim INSERT (bar, blinking)	The caret is a bar carrying the real SLOW_BLINK attribute. Judge it from a cell dump — a PNG cannot show an attribute and should not be asked to
mf-17-fields-single-line-vim-normal	125x34	17 fields — single line, vim NORMAL (block, steady)	A block ON a character, and the ONE caret that does not blink — which is the only thing separating it from visual's
mf-18-fields-single-line-conventional	125x34	18 fields — single line, conventional (terminal caret)	EMACS style: the terminal owns the cursor, so nothing is painted. A still frame has no terminal, which is why this one shows no caret at all
mf-19-fields-multi-line-being-edited	125x34	19 fields — multi-line being edited	The fill IS the box: a multi-line field's frame is the extent of its background, so no border is drawn around it
mf-20-fields-selected-text-neutral-inversion	125x34	20 fields — selected text (A) neutral inversion	PROPOSED. No hue spent: the selected-row tint at a second scale, with whichever text end is legible on it
mf-21-fields-selected-text-theme-secondary	125x34	21 fields — selected text (B) theme secondary	A real colour, as asked — and on every non-Catppuccin theme it IS the data cursor's hue, so the selection and the row cursor share one
mf-22-fields-the-same-edit-driven-by-real-keystrokes	125x34	22 fields — the same edit, driven by real keystrokes	Not constructed in the state a keystroke would produce — `jjjjjj e A 0` through Stack::key, so the frame is evidence the live editor is wired in and not only that the renderer works
mf-23-readability-third-column-no-band	125x34	23 readability — third column, no band	PROPOSED. Item 4: the column is informational and does not need its own region — the text stands on the window like everything else
mf-24-readability-no-headers-at-all	125x34	24 readability — no headers at all	Item 4: *the headers are optional*. With none, the row the header occupied goes back to data
mf-25-breadcrumb-depth-1	125x34	25 breadcrumb — depth 1	A trail of one is all current: no ancestor run, and the segment opens straight off the window
mf-26-breadcrumb-depth-2	125x34	26 breadcrumb — depth 2	One ancestor and the current crumb, with the transition between them
mf-27-breadcrumb-depth-3	125x34	27 breadcrumb — depth 3	PROPOSED. Two ancestors sharing one run of full-saturation accent, the separator drawn INSIDE it, then the current crumb on a lighter run
mf-28-breadcrumb-depth-3-plain	125x34	28 breadcrumb — depth 3, plain (nerd-font fallback)	What it replaces: *not visible enough* — muted text and a faint chevron, spending no background at all
mf-29-banner-view-vs-edit-no-edit	125x34	29 banner — view vs edit, no `-- EDIT --`	Item (b): the columnar change IS the indication, so the banner is gone. This is edit mode, and nothing on the title row says so
mf-30-confirm-a-window-quietened-under-its-own-guard	125x34	30 confirm — a window quietened under its own guard	Item (c): the window beneath gets the SAME treatment the page gets — the existing ModalScope, one level deeper, rather than a second rule meaning the same thing
mf-32-edge-spacing-only	125x34	32 edge — spacing only (the default, shown alone)	PROPOSED. Item (e): the same rect, fill and padding with no glyphs — the content does not move by a column, so the pair differs in ink alone
mf-33-degradation-the-set-mark-under-no-color	125x34	33 degradation — the SET mark under NO_COLOR	The ladder collapses onto four slots, so the fill cannot carry the SET — and the underline comes back, only here
mf-34-degradation-the-same-frame-at-ansi16	125x34	34 degradation — the same frame at ansi16	Sixteen slots: the trail keeps its glyphs and loses its hue separation, which is what item (a) costs on a poor terminal
mf-record-scrolled	125x34	Record, scrolled	The same record part-way down: the thumb is off both ends and the DEFAULT header has not scrolled away with the data
mf-record-empty	125x34	Record, empty	No fields at all: the word the table already uses, and no header over a column with nothing in it
mf-table-in-a-modal	125x34	Table in a modal	The Queue's own ListPane, pre-filtered to the library it was drilled in from, with the fifth row naming that floor
mf-table-empty	125x34	Table, empty	A floor that matches nothing: the column titles stay, because that row IS the view
mf-slide-t-0	125x34	Slide t=0	Before the push: the record, whole. Only the viewport moves — the decoration is the window's and is already at its destination
mf-slide-t-0-5	125x34	Slide t=0.5	Half-way: the record leaving left, the queue arriving from the right. The only frame that says whether the motion will read
mf-slide-t-1	125x34	Slide t=1	After the push: the queue, whole, under the trail it arrived with
mf-confirm-over-the-window	125x34	Confirm over the window	Backspace over a dirty view: the existing modal on Layer2, centred on the WINDOW because a dialogue belongs to what it asks about
mf-contextual-help	125x34	Contextual help (?)	The help window IS this framework: a container and a fixed scrollable content — and the content does not fit, which is the scroll the ruling asks for
mf-table-pinned-column-shown	125x34	Table: pinned column shown	Every row repeating `open-books` in its widest fixed column — twenty columns carrying no information
mf-table-pinned-column-dropped	125x34	Table: pinned column dropped	The caller's other choice, and the usual one: a drilled-in view drops the column it was pinned by, and Object gets the width
