name,verdict,areas,reason,gate,version,ratatui_reqs,license,updated,in_top500_csv,downloads,description
aide-sh,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.0,ratatui^0.29,MIT,2026-03-22,no,,
aidememo-cli,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30,MIT OR Apache-2.0,2026-07-12,no,,
aidens-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT OR Apache-2.0,2026-07-05,no,,
aiguard-replay,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.28,Apache-2.0 OR MIT,2026-06-07,no,,
aikit-cli,DROP-APP,,ships binaries (aikit),OK,0.1.101,ratatui^0.30,Apache-2.0,2026-05-09,no,,
ailloy,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,2.0.4,ratatui^0.29,MIT,2026-07-16,no,,
aimcal-cli,DROP-APP,,ships binaries (aim),OK,0.12.1,ratatui^0.30.0,Apache-2.0,2026-04-26,no,,
aimux-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.0.1,ratatui^0.29,Apache-2.0,2026-03-21,no,,
aion-calendar,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.4,ratatui^0.29,MIT,2026-06-11,no,,
aipack,DROP-APP,,publishes no library target,OK,0.8.32,ratatui^0.30.0,MIT OR Apache-2.0,2026-07-26,no,,
aiscope,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,MIT,2026-04-27,no,,
ait,DROP-APP,,ships binaries (ait),OK,0.6.0,ratatui^0.30,MIT,2026-05-27,yes,8123,
aitop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.6.3,ratatui^0.29,MIT,2026-03-29,no,,
aiw,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.6.0,ratatui^0.26,MIT,2026-07-03,no,,
aiward,DROP-APP,,ships binaries (ward),OK,0.5.29,ratatui^0.30,AGPL-3.0-only,2026-06-08,no,,
aiwatch,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-01-17,no,,
akh-medu,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.1,ratatui^0.29,GPL-3.0-only,2026-02-14,no,,
akm,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.0-rc2,ratatui^0.29,MIT,2026-07-29,no,,
akv-tui-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29.0,Apache-2.0,2026-02-07,no,,
albert-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.5.0,ratatui^0.29,LGPL-2.1-or-later,2026-05-28,no,,
aledgr,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.15.0,ratatui^0.29,MIT,2026-03-30,no,,
alex,DROP-APP,,publishes no library target,OK,0.1.31,ratatui^0.30,MIT OR Apache-2.0,2026-07-24,no,,
alf_tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.28,MIT OR Apache-2.0,2026-07-22,no,,
aliyah,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29.0,MIT,2025-04-10,no,,
all-is-cubes-desktop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.10.0,ratatui^0.29.0,MIT OR Apache-2.0,2025-12-12,no,,
alloy_tui,KEEP,"T,ART",design-system intents rendered as ratatui Color/Style,OK,3.1.0,ratatui^0.30,MIT,2026-07-30,no,,"Alloy design system: makeover intents rendered as ratatui Color/Style, plus themed widgets for the alloy console and siblings."
alman,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.2,ratatui^0.29,MIT OR Apache-2.0,2025-07-13,no,,
alnav,DROP-APP,,publishes no library target,OK,0.2.1,ratatui^0.30,MIT,2026-07-28,no,,
alopex-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.8.0,ratatui^0.26,Apache-2.0,2026-07-23,no,,
alpaca-trader-rs,DROP-APP,,ships binaries (alpaca-trader),OK,0.8.0,ratatui^0.30,MIT,2026-07-12,no,,
alphai-tui,DROP-APP,,publishes no library target,OK,0.11.0,ratatui^0.30.2,MIT,2026-07-26,no,,
alpine-protocol-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.21,MIT,2025-12-08,no,,
als-manager,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26,MIT,2026-02-20,no,,
alsa-mixer,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.4,ratatui^0.29,MIT,2026-05-31,no,,
alternate,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.0.0,ratatui^0.26.2,non-standard,2024-04-23,no,,
althemer,DROP-APP,,publishes no library target,OK,0.3.0,ratatui^0.30.0,MIT,2026-04-02,no,,
altui-textarea,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.7.0-altui.1,ratatui^0.29.0,MIT,2026-03-13,no,,
amalgamation-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26,MIT,2025-01-21,no,,
ambits,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.17.0,ratatui^0.29,MIT,2026-05-15,no,,
amdo,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.2,ratatui^0.28.0,MIT,2025-01-12,no,,
amdtop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.6,ratatui^0.29,Apache-2.0,2026-07-23,no,,
ametokei,DROP-APP,,publishes no library target,OK,0.2.0,ratatui^0.30.0,MIT,2026-03-02,no,,
amlich-cli,DROP-APP,,publishes no library target,OK,0.1.4,ratatui^0.30,MIT,2026-03-26,no,,
amlich-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.29,MIT,2026-03-26,no,,
amon-hen,DROP-APP,,ships binaries (amon-hen),OK,0.1.26,ratatui^0.30.0,MIT,2026-05-05,no,,
amoxide-tui,DROP-APP,,publishes no library target,OK,0.10.5,ratatui^0.30,GPL-3.0-only,2026-07-19,no,,
amp-rust,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.0.9,ratatui^0.29,BSD-3-Clause,2025-11-22,no,,
ampelos,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT OR Apache-2.0,2026-05-12,no,,
amusing,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.1.0,ratatui^0.29.0,MIT,2025-09-23,no,,
anchor-cli,DROP-APP,,ships binaries (anchor),OK,1.1.2,ratatui^0.30,Apache-2.0,2026-06-26,no,,
ane-editor,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-05-21,no,,
angry-duiker,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.14.2,ratatui^0.29.0,MIT,2026-04-03,no,,
ani-l,DROP-APP,,publishes no library target,OK,0.3.5,ratatui^0.30,LGPL-2.1-only,2026-01-02,no,,
ani-nexus-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.6,ratatui^0.29,CC-BY-NC-SA-4.0,2026-07-07,no,,
ani-tui-app,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.6,ratatui^0.28,MIT,2026-05-15,no,,
anicli-esp,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.3.1,ratatui^0.29.0,MIT OR Apache-2.0,2026-07-09,no,,
animate,KEEP,MO,animation library,OK,0.4.1,ratatui^0.30,MIT,2026-05-08,yes,44640,Animation library for Ratatui
animate-core,KEEP,MO,"animation core, renderer-separated",OK,0.4.1,ratatui^0.30,MIT,2026-05-08,yes,44830,Animation library for Ratatui
animate-macros,DROP-DOMAIN,,"library, but no wqm surface needs it",NODEP,,,,,yes,44642,
animato,KEEP,MO,"renderer-agnostic animation library, zero mandatory dependencies",OK,1.7.2,ratatui^0.30.0,MIT OR Apache-2.0,2026-07-20,no,,"Professional-grade, renderer-agnostic animation library for Rust. Zero mandatory dependencies. no_std-ready."
animato-devtools,KEEP,"MO,PV","timeline inspector, easing editor, spring visualizer",OK,1.7.2,ratatui^0.30.0,MIT OR Apache-2.0,2026-07-20,no,,"Animation DevTools for Animato: timeline inspector, easing editor, spring visualizer, recorder controls, and performance monitor."
anitrack,DROP-APP,,publishes no library target,OK,0.1.8,ratatui^0.30.0,GPL-3.0-or-later,2026-07-24,no,,
anki-llm,DROP-APP,,ships binaries (anki-llm),OK,2.0.19,ratatui^0.30,MIT,2026-07-28,no,,
ankr,DROP-APP,,publishes no library target,OK,0.1.4,ratatui^0.30,MIT,2026-07-04,no,,
annotui,DROP-APP,,ships binaries (annotui),OK,0.2.0,ratatui^0.30.2,MIT,2026-07-26,no,,
ansi-to-tui,KEEP,"MD,PV",ANSI into ratatui Text -- could render `cargo pantry dump` inside a TUI,OK,8.0.1,ratatui-core^0.1.0,MIT,2026-01-10,yes,3996473,Convert ANSI color and style codes into Ratatui Text
ansi-to-tui-forked,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,3.0.0-ratatui,ratatui0.*,MIT,2023-03-19,yes,5845,
antneuro,DROP-APP,,"ships binaries (antneuro,tui)",OK,0.0.1,ratatui^0.30.0,MIT,2026-04-22,no,,
antop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.2,ratatui^0.26,MIT,2025-04-07,yes,6869,
anttpmon,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.29,Apache-2.0,2026-02-12,no,,
anvil-dev,DROP-APP,,publishes no library target,OK,1.2.0,ratatui^0.30,MIT OR Apache-2.0,2026-05-10,no,,
anya,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.102,ratatui^0.24.0,MIT,2024-03-10,no,,
anyback,DROP-APP,,ships binaries (anyback),OK,0.4.0-alpha.2,ratatui^0.30.0,Apache-2.0,2026-02-18,no,,
