rank,name,max_version,downloads,recent_downloads,depends_on_ratatui,updated_at,created_at,repository,description
18,burn,0.21.0,1162050,372879,False,2026-07-29,2022-07-27,https://github.com/tracel-ai/burn,Flexible and Comprehensive Deep Learning Framework in Rust
19,burn-ndarray,0.21.0,1130392,369921,False,2026-07-29,2022-11-20,https://github.com/tracel-ai/burn/tree/main/crates/burn-ndarray,Ndarray backend for the Burn framework
20,tui-term,0.3.4,1088050,266048,True,2026-04-07,2023-05-17,https://github.com/a-kenji/tui-term,A pseudoterminal widget for ratatui
21,tui-scrollbar,0.2.7,1084311,204479,True,2026-06-14,2025-12-28,https://github.com/ratatui/tui-widgets,A Ratatui scrollbar widget with fractional thumb rendering
22,burn-autodiff,0.21.0,1077810,344043,False,2026-07-29,2022-11-20,https://github.com/tracel-ai/burn/tree/main/crates/burn-autodiff,Automatic differentiation backend for the Burn framework
23,burn-wgpu,0.21.0,1043167,338420,False,2026-07-29,2023-07-25,https://github.com/tracel-ai/burn/tree/main/crates/burn-wgpu,WGPU backend for the Burn framework
24,burn-candle,0.21.0,960633,307784,False,2026-07-29,2023-10-24,https://github.com/tracel-ai/burn/tree/main/crates/burn-candle,"[Deprecated] Candle backend for the Burn framework - use burn-cubecl, burn-ndarray, or burn-tch instead"
25,tui-tree-widget,0.24.0,939131,301068,True,2026-01-09,2020-10-31,https://github.com/EdJoPaTo/tui-rs-tree-widget,Tree Widget for ratatui
26,burn-common,0.19.1,924820,226577,False,2025-11-24,2023-03-21,https://github.com/tracel-ai/burn/tree/main/crates/burn-common,Common crate for the Burn framework
27,burn-cuda,0.21.0,812639,308185,False,2026-07-29,2024-08-27,https://github.com/tracel-ai/burn/tree/main/crates/burn-cuda,CUDA backend for the Burn framework
28,throbber-widgets-tui,0.11.1,785017,207840,True,2026-06-19,2022-10-09,https://github.com/arkbig/throbber-widgets-tui,This is a ratatui widget that displays throbber.
29,burn-ir,0.21.0,782188,333545,False,2026-07-29,2025-04-23,https://github.com/tracel-ai/burn/tree/main/crates/burn-ir,Intermediate representation for the Burn framework
30,burn-dataset,0.21.0,778344,209142,False,2026-07-29,2022-09-04,https://github.com/tracel-ai/burn/tree/main/crates/burn-dataset,Library with simple dataset APIs for creating ML data pipelines
31,burn-fusion,0.21.0,777510,266772,False,2026-07-29,2023-12-01,https://github.com/tracel-ai/burn/tree/main/crates/burn-fusion,Kernel fusion backend decorator for the Burn framework
32,burn-train,0.21.0,761077,205928,True,2026-07-29,2023-02-12,https://github.com/tracel-ai/burn/tree/main/crates/burn-train,Training crate for the Burn framework
33,burn-router,0.21.0,749500,297443,False,2026-07-29,2025-01-14,https://github.com/tracel-ai/burn/tree/main/crates/burn-router,Multi-backend router decorator for the Burn framework
34,burn-cubecl,0.21.0,706820,297868,False,2026-07-29,2025-04-23,https://github.com/tracel-ai/burn/tree/main/crates/burn-cubecl,Generic backend that can be compiled just-in-time to any shader language target
35,burn-rocm,0.21.0,649163,269114,False,2026-07-29,2025-04-23,https://github.com/tracel-ai/burn/tree/main/crates/burn-rocm,ROCm HIP backend for the Burn framework
36,ratatui-image,11.0.6,617090,253950,True,2026-06-25,2023-09-17,https://github.com/ratatui/ratatui-image,"An image widget for ratatui, supporting sixels, kitty, iterm2, and unicode-halfblocks"
37,ratatui-termion,0.1.2,587705,401218,False,2026-06-19,2024-09-27,https://github.com/ratatui/ratatui,Termion backend for the Ratatui Terminal UI library.
38,burn-tch,0.21.0,518983,157668,False,2026-07-29,2022-11-20,https://github.com/tracel-ai/burn/tree/main/crates/burn-tch,LibTorch backend for the Burn framework using the tch bindings.
39,burn-cubecl-fusion,0.21.0,514488,229632,False,2026-07-29,2025-04-23,https://github.com/tracel-ai/burn/tree/main/crates/burn-cubecl-fusion,Provide optimizations that can be used with cubecl based backends.
40,maliput,0.36.0,458107,150205,True,2026-07-17,2024-04-08,https://github.com/maliput/maliput-rs,Rust API for maliput
41,tui-big-text,0.8.8,452992,89169,True,2026-06-18,2023-09-05,https://github.com/ratatui/tui-widgets,A Ratatui widget for displaying big text in the terminal
42,tui-scrollview,0.6.7,409573,71909,True,2026-06-14,2024-01-18,https://github.com/ratatui/tui-widgets,A simple scrollable view for Ratatui
43,tui-react,0.24.0,397432,46742,True,2026-01-08,2019-06-05,https://github.com/Byron/tui-crates,"TUI widgets using a react-like paradigm, allowing mutable component state and render properties."
44,tui-markdown,0.3.9,384667,117297,True,2026-07-23,2024-02-27,https://github.com/joshka/tui-markdown,A simple library for converting markdown to a Ratatui Text value
45,burn-nn,0.21.0,359604,203373,False,2026-07-29,2025-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-nn,Neural network building blocks for the Burn deep learning framework
46,burn-optim,0.21.0,355343,200059,False,2026-07-29,2025-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-optim,Optimizer building blocks for the Burn deep learning framework
47,ratzilla,0.3.1,327337,188951,True,2026-06-08,2025-01-09,https://github.com/ratatui/ratzilla,Build terminal-themed web applications with Ratatui and WebAssembly
48,ratatui-textarea,0.9.2,318682,243322,False,2026-06-12,2023-09-15,https://github.com/ratatui/ratatui-textarea,ratatui-textarea is a simple yet powerful text editor widget for ratatui. Multi-line text editor can be easily put as part of your TUI application.
49,burn-store,0.21.0,301534,171731,False,2026-07-29,2025-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-store,Storage and serialization infrastructure for Burn
50,beamterm-data,1.0.0,276995,163348,False,2026-03-30,2025-06-06,https://github.com/junkdog/beamterm,Core data structures and binary serialization for the beamterm WebGL terminal renderer
51,beamterm-renderer,1.0.0,276044,163027,False,2026-03-30,2025-06-06,https://github.com/junkdog/beamterm,"High-performance WebGL2 terminal renderer for beamterm, targeting sub-millisecond render times in web browsers"
52,tachyonfx,0.25.1,268005,164459,True,2026-07-05,2024-06-20,https://github.com/ratatui/tachyonfx,A ratatui library for creating shader-like effects in TUIs.
53,burn-jit,0.16.1,258549,40517,False,2025-04-03,2024-04-12,https://github.com/tracel-ai/burn/tree/main/crates/burn-jit,Generic backend that can be compiled just-in-time to any shader language target
54,burn-std,0.21.0,256369,165541,False,2026-07-29,2025-12-01,https://github.com/tracel-ai/burn/tree/main/crates/burn-std,Core types and utilities shared across the Burn ecosystem.
55,burn-backend,0.21.0,256185,165512,False,2026-07-29,2025-12-01,https://github.com/tracel-ai/burn/tree/main/crates/burn-backend,Core backend interfaces and data structures for executing tensor operations in Burn.
56,tui-popup,0.7.6,235728,113155,True,2026-06-14,2023-12-31,https://github.com/ratatui/tui-widgets,A simple popup for ratatui
57,burn-cpu,0.21.0,232984,132290,False,2026-07-29,2025-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-cpu,MLIR based CPU backend for the Burn framework
58,edtui,0.11.6,228200,95122,True,2026-07-18,2023-11-28,https://github.com/preiter93/edtui,A TUI based vim inspired editor
59,tui-widget-list,0.15.3,224981,74429,True,2026-07-18,2023-04-30,https://github.com/preiter93/tui-widget-list,Widget List for TUI/Ratatui
60,terminput,0.5.15,223893,168793,False,2026-07-18,2025-01-22,https://github.com/aschey/terminput,TUI input parser/encoder and abstraction over input backends
61,tuirealm,4.1.0,214407,31251,True,2026-05-02,2021-04-20,https://github.com/veeso/tui-realm,"A tui-rs framework to build tui interfaces, inspired by React and Elm."
62,burn-remote,0.21.0,174400,78008,False,2026-07-29,2025-01-14,https://github.com/tracel-ai/burn/tree/main/crates/burn-router-remote,Backend router decorator over the network.
63,burn-compute,0.13.2,170151,6328,False,2024-05-03,2023-10-24,https://github.com/tracel-ai/burn/tree/main/burn-compute,Compute crate that helps creating high performance async backends.
64,tui-prompts,0.6.7,169870,40549,True,2026-06-18,2023-07-11,https://github.com/ratatui/tui-widgets,A library for building interactive prompts for ratatui.
65,iocraft,0.8.4,145323,45804,False,2026-07-13,2024-09-23,https://github.com/ccbrown/iocraft,Create beautifully crafted CLI programs and text output with a declarative React-like Rust API.
66,oha,1.15.0,141000,4256,True,2026-07-11,2020-03-08,https://github.com/hatoo/oha,"Ohayou(おはよう), HTTP load generator, inspired by rakyll/hey with tui animation."
67,burn-hip,0.16.1,139676,32876,False,2025-04-03,2024-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-hip,ROCm HIP backend for the Burn framework
68,jkconfig,0.2.5,135948,113142,True,2026-06-15,2025-10-24,https://github.com/drivercraft/ostool,A Ratatui-based TUI component library for JSON Schema configuration
69,ostool,0.26.0,129447,59423,True,2026-07-27,2024-10-23,https://github.com/drivercraft/ostool,A tool for operating system development
70,ratatui-explorer,0.3.0,129439,60084,True,2026-03-06,2024-02-19,https://github.com/tatounee/ratatui-explorer.git,"ratatui-explorer is a small, but highly customizable, file explorer widget for ratatui."
71,rich_rust,0.2.2,114455,66492,False,2026-06-13,2026-01-19,https://github.com/Dicklesworthstone/rich_rust,A Rust port of Python's Rich library for beautiful terminal output
72,vdash,0.20.0,108997,284,True,2025-02-27,2020-09-11,https://github.com/happybeing/vdash,Autonomi node Dashboard
73,pulldown-cmark-mdcat,2.14.0,96819,5206,True,2026-07-27,2023-04-15,https://github.com/BIRSAx2/mdcat,Render pulldown-cmark events to TTY
74,catppuccin,2.8.0,92245,14188,True,2026-04-26,2022-10-22,https://github.com/catppuccin/rust,🦀 Soothing pastel theme for Rust.
75,burn-tensor-testgen,0.21.0,89317,2202,False,2026-05-07,2022-11-20,https://github.com/tracel-ai/burn/tree/main/crates/burn-tensor-testgen,Test generation crate for burn-tensor
76,spotify_player,0.24.1,87285,3642,True,2026-07-20,2021-08-15,https://github.com/aome510/spotify-player,A Spotify player in the terminal with full feature parity
77,tui-textarea-2,0.12.1,85005,58373,True,2026-07-10,2026-02-18,https://github.com/srothgan/tui-textarea,tui-textarea is a simple yet powerful text editor widget for ratatui. Multi-line text editor can be easily put as part of your TUI application.
78,tui-framework-experiment,0.4.0,78486,16175,True,2025-11-29,2024-10-19,https://github.com/joshka/tui-framework-experiment,An set of harmonious Ratatui widgets with a goal of building a proper widget framework.
79,mdstream,0.3.0,78142,45935,False,2026-07-07,2025-12-23,https://github.com/Latias94/mdstream,"Streaming-first Markdown middleware for LLM output (committed + pending blocks, render-agnostic)."
80,terminput-crossterm,0.4.11,77588,31176,False,2026-07-18,2025-03-25,https://github.com/aschey/terminput,crossterm adapter for terminput
81,burn-communication,0.21.0,76902,39203,False,2026-07-29,2025-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-communication,Abstractions for network communication for Burn
82,burn-collective,0.21.0,76231,38958,False,2026-05-07,2025-10-28,https://github.com/tracel-ai/burn/tree/main/crates/burn-collective,Backend extension for collective calculations.
83,ttyper,1.6.0,74829,1260,True,2024-08-12,2021-02-15,https://github.com/max-niederman/ttyper.git,Terminal-based typing test.
84,navipod,1.2.5,74124,291,True,2026-06-18,2023-11-05,https://github.com/navicore/navipod,A cli tool for inspecting containers in Kubernetes
85,burn-dispatch,0.21.0,72149,65675,False,2026-07-29,2026-03-02,https://github.com/tracel-ai/burn/tree/main/crates/burn-dispatch,Backend dispatch for the Burn framework
86,rat-event,2.1.0,70609,8113,False,2026-03-08,2024-05-08,https://github.com/thscharler/rat-salsa,ratatui event handler trait for widgets
87,schemaui,0.12.3,69868,68928,True,2026-07-10,2025-11-07,https://github.com/yuniqueunic/schemaui,A Rust library for generating TUI and Web UIs from JSON Schemas for configuration management.
88,beamterm-core,1.0.0,67748,67075,False,2026-03-30,2026-02-26,https://github.com/junkdog/beamterm,Platform-agnostic OpenGL terminal renderer using glow
89,beamterm-unicode,1.0.0,66935,66829,False,2026-03-30,2026-03-30,https://github.com/junkdog/beamterm,Unicode character classification utilities for beamterm
90,kdash,2.1.1,66493,689,True,2026-07-22,2021-04-17,https://github.com/kdash-rs/kdash,A fast and simple dashboard for Kubernetes
91,tui-widgets,0.7.10,66161,13916,False,2026-06-18,2024-07-24,https://github.com/ratatui/tui-widgets,A collection of useful widgets for building terminal user interfaces using Ratatui
92,ratatui-splash-screen,0.1.5,65930,4131,True,2026-02-25,2024-03-14,https://github.com/orhun/ratatui-splash-screen,A Ratatui widget to turn any image to a splash screen in your terminal
93,television,0.15.9,64424,1517,True,2026-06-14,2024-09-11,https://github.com/alexpasmantier/television,"A very fast, portable and hackable fuzzy finder for the terminal"
94,syntect-tui,3.0.6,61024,19595,True,2025-05-09,2022-12-26,,A lightweight translation layer between syntect.rs and Ratatui style types
95,bevy_ratatui,0.11.1,59763,5888,True,2026-02-18,2024-02-27,https://github.com/ratatui/bevy_ratatui,A Bevy plugin for building terminal user interfaces with Ratatui
96,rat-focus,2.1.1,59450,8055,False,2026-03-10,2024-05-18,https://github.com/thscharler/rat-salsa,focus handling for ratatui widgets
97,fzf-make,0.73.0,59408,387,True,2026-07-26,2023-10-07,https://github.com/kyu08/fzf-make,"A command line tool that executes commands using fuzzy finder with preview window for make, pnpm, yarn, just, and task."
98,procmon-oprs,0.43.0,56423,226,True,2026-02-14,2020-05-20,,A process monitor for Linux
99,burn-flex,0.21.0,53833,53039,False,2026-07-29,2026-03-25,https://github.com/tracel-ai/burn/tree/main/crates/burn-flex,"A fast, portable CPU backend for the Burn framework"
100,rat-ftable,2.2.0,53263,3535,False,2026-03-08,2024-05-13,https://github.com/thscharler/rat-salsa,ratatui table widget for large data
101,machine_setup,2.4.2,50208,207,True,2026-05-29,2022-03-31,,A CLI tool with TUI for automating machine configuration and setup tasks
102,oxker,0.13.3,50200,1174,True,2026-07-24,2022-07-23,https://github.com/mrjackwills/oxker,A simple tui to view & control docker containers
103,rat-text,3.1.0,50013,7263,False,2026-03-08,2024-08-25,https://github.com/thscharler/rat-salsa,ratatui text input widgets
104,rat-scrolled,2.0.2,49125,7422,False,2026-03-08,2024-05-18,https://github.com/thscharler/rat-salsa,ratatui scroll widget and traits
105,termscp,1.1.1,48411,580,False,2026-06-08,2020-12-06,https://github.com/veeso/termscp,termscp is a feature rich terminal file transfer and explorer with support for SCP/SFTP/FTP/Kube/S3/WebDAV
106,kmon,1.7.1,47923,307,True,2024-12-15,2020-01-31,https://github.com/orhun/kmon,Linux kernel manager and activity monitor
107,burn-vision,0.21.0,45538,37358,False,2026-07-29,2025-04-23,https://github.com/tracel-ai/burn/tree/main/crates/burn-vision,Vision processing operations for burn tensors
108,modalkit,0.0.25,45112,1791,False,2026-04-07,2021-08-25,https://github.com/ulyssa/modalkit,A library for building applications that use modal editing
109,animate-core,0.4.1,44830,38026,True,2026-05-08,2026-04-14,https://github.com/vyfor/animate,Animation library for Ratatui
110,rat-widget,3.2.1,44643,3493,False,2026-03-09,2024-05-20,https://github.com/thscharler/rat-salsa,ratatui widgets extended edition
111,animate-macros,0.4.1,44642,37837,False,2026-05-08,2026-04-14,https://github.com/vyfor/animate,Animation library for Ratatui
112,animate,0.4.1,44640,37795,True,2026-05-08,2026-04-14,https://github.com/vyfor/animate,Animation library for Ratatui
113,tui-journal,0.17.0,44617,375,True,2026-07-10,2023-05-15,https://github.com/ammarabouzor/tui-journal,Tui app allows writing and managing journals/notes from within the terminal With different local back-ends
114,cargo-e,0.3.2,43728,268,True,2025-10-12,2025-03-09,https://github.com/davehorner/cargo-e,"e is for Example. A command-line tool for running and exploring source, examples, and binaries from Rust projects. It will run the first example, if no options are given."
115,rainfrog,0.4.2,43464,767,True,2026-07-28,2024-08-06,https://github.com/achristmascarl/rainfrog,a database management tui
116,tui-qrcode,0.2.6,42308,14046,True,2026-06-14,2025-01-23,https://github.com/ratatui/tui-widgets,A Ratatui widget for displaying QR codes in the terminal
117,ascii-forge,2.1.5,42023,383,False,2025-10-23,2024-02-20,https://github.com/TheEmeraldBee/ascii-forge,A Minimal TUI Ascii Application Engine that simplifies the use of crossterm
118,lp_parser_rs,4.1.0,41602,306,False,2026-07-09,2023-11-13,https://github.com/dandxy89/lp_parser_rs,A Rust parser for the LP file format.
119,tui-menu,0.3.1,41000,10524,True,2025-12-30,2022-11-29,https://github.com/shuoli84/tui-menu,A menu widget for Ratatui
120,trippy,0.13.0,40577,2166,False,2025-05-05,2022-03-28,https://github.com/fujiapple852/trippy,A network diagnostic tool
121,tui-bar-graph,0.3.5,39719,14297,True,2026-06-14,2025-03-04,https://github.com/ratatui/tui-widgets,A Ratatui widget for rendering pretty bar graphs in the terminal
122,wiki-tui,0.9.2,38758,307,True,2025-12-08,2021-10-16,https://github.com/builditluc/wiki-tui,A simple and easy to use Wikipedia Text User Interface
123,rat-reloc,2.0.2,36646,7413,False,2026-01-06,2024-11-01,https://github.com/thscharler/rat-salsa,relocate widgets after rendering
124,netscanner,0.6.43,36262,533,True,2026-07-06,2023-12-11,https://github.com/Chleba/netscanner,Network Scanner
125,color-to-tui,0.3.0,36070,544,True,2023-04-03,2021-11-06,https://git.uttarayan.me/uttarayan/color-to-tui,Parse colors and convert them to ratatui::style::Colors
126,rat-cursor,2.0.0,35518,7262,False,2025-12-27,2024-09-12,https://github.com/thscharler/rat-salsa,ratatui trait to communicate the cursor position across widgets
127,tui-cards,0.3.5,34309,10179,True,2026-06-18,2024-09-21,https://github.com/ratatui/tui-widgets,A playing card widget for Ratatui
128,s2protocol,3.5.6,34171,374,True,2026-07-01,2023-02-12,https://github.com/sebosp/s2protocol-rs,"A parser for Starcraft II - Replay format, exports to different target formats"
129,stu,0.7.6,33936,420,True,2026-01-31,2023-03-04,https://github.com/lusingander/stu,TUI application for AWS S3 written in Rust using ratatui
130,ratatui-interact,0.5.3,33932,27511,True,2026-04-02,2026-01-19,https://github.com/Brainwires/ratatui-interact,Interactive TUI components for ratatui with focus management and mouse support
131,trippy-core,0.13.0,33366,8667,False,2025-05-05,2024-08-09,https://github.com/fujiapple852/trippy,A network tracing library
132,trippy-privilege,0.13.0,33308,8651,False,2025-05-05,2024-08-09,https://github.com/fujiapple852/trippy,Discover platform privileges
133,trippy-packet,0.13.0,33186,8731,False,2025-05-05,2024-08-09,https://github.com/fujiapple852/trippy,Network packets for Trippy
134,tui-box-text,0.3.4,32818,10164,True,2026-06-14,2024-10-17,https://github.com/ratatui/tui-widgets,A Ratatui widget for displaying text using the box drawing characters
135,egui_ratatui,2.2.0,32368,1877,False,2026-04-16,2024-06-02,https://github.com/gold-silver-copper/egui_ratatui,WASM ratatui with egui works with bevy and macroquad and eframe
136,cascade-cli,0.1.152,32310,381,True,2026-03-02,2025-06-28,https://github.com/JAManfredi/cascade-cli,Stacked diffs CLI for Bitbucket Server
137,systemctl-tui,0.7.0,31918,502,True,2026-07-19,2023-08-21,https://github.com/rgwood/systemctl-tui,A simple TUI for interacting with systemd services and their logs
138,presenterm,0.16.1,30781,728,False,2026-02-20,2023-10-08,https://github.com/mfontanini/presenterm,A terminal slideshow presentation tool
139,rat-salsa,4.0.3,30363,1033,False,2026-03-08,2024-06-10,https://github.com/thscharler/rat-salsa,ratatui widgets and a crossterm event-loop
140,crates-tui,0.1.25,30092,172,True,2025-02-05,2024-02-08,https://github.com/ratatui-org/crates-tui,A TUI for crates.io
141,heh,0.6.3,30065,2213,True,2026-01-16,2022-08-07,https://github.com/ndd7xv/heh,A cross-platform terminal UI used for modifying file data in hex or ASCII.
142,atac,0.23.0,29242,327,True,2026-02-08,2024-04-15,https://github.com/Julien-cpsn/ATAC,"Arguably a Terminal API Client. Feature-full, free, open-source, offline and account-less."
143,llmsim,0.5.1,29121,12040,True,2026-06-28,2026-01-10,https://github.com/chaliy/llmsim,"LLM Traffic Simulator - A lightweight, high-performance LLM API simulator"
144,tui_confirm_dialog,0.4.1,28167,1457,True,2026-01-07,2024-01-16,https://github.com/sephiroth74/tui-confirm-dialog,Ratatui dialogs
145,markdown-reader,0.1.29,27180,197,True,2026-07-23,2024-02-27,https://github.com/joshka/tui-markdown,A simple markdown reader that uses ratatui to render markdown files.
146,tuigui,0.23.0,26917,234,False,2024-11-30,2024-08-23,https://gitlab.com/oglo-crates/tuigui,"An easy-to-use, highly extensible, and speedy TUI library."
147,thoth-cli,0.1.87,26557,114,True,2025-10-25,2024-07-27,https://github.com/jooaf/thoth,A terminal scratchpad akin to Heynote
148,tanu-tui,0.21.0,25712,3508,True,2026-06-17,2025-01-30,https://github.com/tanu-rs/tanu,TUI frontend for tanu
149,synd-term,0.4.0,25702,108,True,2026-07-29,2024-02-12,https://github.com/ymgyt/syndicationd,Terminal application library for syndicationd
150,ducker,0.6.5,25054,587,True,2026-03-21,2024-06-27,https://github.com/robertpsoane/ducker,A slightly quackers Docker TUI based on k9s 🦆
151,ratframe,2.0.1,24898,86,True,2024-06-02,2024-04-19,https://github.com/gold-silver-copper/egui_ratatui,DEPRECATED GO TO 'egui_ratatui
152,rat-menu,3.1.1,24147,3525,False,2026-03-08,2024-10-08,https://github.com/thscharler/rat-salsa,menu widgets for ratatui
153,rat-input,0.17.0,24089,148,True,2024-07-03,2024-05-03,https://github.com/thscharler/rat-input,ratatui data input widgets
154,dnote-tui,0.5.10,23918,56,True,2024-10-07,2023-08-20,https://github.com/deepanchal/dnote-tui,TUI for dnote
155,eddacraft-tui,0.4.1,23716,16544,True,2026-06-22,2026-04-10,https://github.com/eddacraft/eddacraft-tui,Shared Ratatui component library for the eddacraft product family
156,rat-popup,3.0.2,23693,3536,False,2026-03-08,2024-10-13,https://github.com/thscharler/rat-salsa,ratatui popup semi-window widget
157,jwt-ui,1.3.0,23407,106,True,2024-12-06,2023-10-24,https://github.com/jwt-rs/jwt-ui,A Terminal UI for decoding/encoding JSON Web Tokens
158,clipboard-history-tui,0.17.0,23024,167,True,2026-06-22,2024-01-18,https://github.com/SUPERCILEX/clipboard-history,Ringboard ratatui client application.
159,bevy_ratatui_render,0.7.0,22579,421,True,2024-12-05,2024-06-02,https://github.com/cxreiff/bevy_ratatui_render,A bevy plugin for rendering your bevy app to the terminal using ratatui.
160,rattles,0.3.1,21511,15961,True,2026-04-14,2026-04-11,https://github.com/vyfor/rattles,Minimal terminal spinners for Rust
161,ftui-core,0.5.0,21458,12390,False,2026-07-05,2026-02-04,https://github.com/Dicklesworthstone/frankentui,"Terminal lifecycle, capabilities, and event parsing for FrankenTUI."
162,kbt,2.1.0,21284,165,True,2024-01-06,2023-07-23,https://github.com/bloznelis/kbt,Keyboard tester in terminal
163,chess-tui,2.7.1,21252,710,True,2026-05-21,2023-12-01,https://github.com/thomas-mauran/chess-tui,"Play chess in the terminal. Rust TUI, Stockfish, Lichess."
164,ftui-render,0.5.0,21213,12275,False,2026-07-05,2026-02-05,https://github.com/Dicklesworthstone/frankentui,"Render kernel: cells, buffers, diffs, and ANSI presentation."
165,widgetui,0.7.1,21167,225,True,2024-10-27,2023-09-21,https://github.com/TheEmeraldBee/widgetui,A bevy like widget system for ratatui and crossterm
166,rat-theme,0.31.2,21165,220,False,2025-12-27,2024-06-15,https://github.com/thscharler/rat-salsa,ratatui widgets extended edition
167,ftui-style,0.5.0,20948,12122,False,2026-07-05,2026-02-05,https://github.com/Dicklesworthstone/frankentui,"Style, theme, and color primitives for FrankenTUI."
168,eye_declare,0.6.4,20927,14076,False,2026-07-29,2026-03-24,https://github.com/atuinsh/eye-declare,"Inline terminal UIs for Rust: timeline-first, Elm-shaped, built on Ratatui"
169,soft_ratatui,0.2.0,20924,10535,True,2026-04-22,2025-05-01,https://github.com/gold-silver-copper/soft_ratatui,Software rendering for ratatui. TUI everywhere.
170,serie,0.8.1,20770,1839,True,2026-07-19,2024-07-28,https://github.com/lusingander/serie,"A rich git commit graph in your terminal, like magic"
171,ftui-layout,0.5.1,20762,12009,False,2026-07-05,2026-02-04,https://github.com/Dicklesworthstone/frankentui,Flex and grid layout solvers for FrankenTUI.
172,ftui-text,0.5.0,20641,11946,False,2026-07-05,2026-02-05,https://github.com/Dicklesworthstone/frankentui,"Text layout, wrapping, and grapheme width for FrankenTUI."
173,modalkit-ratatui,0.0.25,20473,1574,True,2026-04-07,2024-02-01,https://github.com/ulyssa/modalkit,A library for building TUI applications that use modal editing
174,managarr,0.7.3,20418,152,True,2026-06-25,2024-10-30,https://github.com/Dark-Alex-17/managarr,A TUI and CLI to manage your Servarrs
175,ftui-widgets,0.5.0,20397,11821,False,2026-07-05,2026-02-05,https://github.com/Dicklesworthstone/frankentui,Widget library built on FrankenTUI render and layout.
176,carch,5.2.6,20097,118,True,2025-07-31,2025-03-02,https://github.com/harilvfs/carch,A simple CLI tool to automate Linux system setup 🧩
177,rusty-krab-manager,2.0.0,19557,62,True,2026-07-08,2020-01-24,https://github.com/aryakaul/rusty-krab-manager,Time management TUI inspired by the pomodoro technique as described by Francesco Cirillo
178,trippy-dns,0.13.0,19404,2316,False,2025-05-05,2024-08-09,https://github.com/fujiapple852/trippy,A lazy DNS resolver for Trippy
179,television-fuzzy,0.0.23,19371,186,False,2025-01-20,2024-11-09,https://github.com/alexpasmantier/television,The revolution will be televised.
180,ftui-backend,0.5.0,19187,11738,False,2026-07-05,2026-02-15,https://github.com/Dicklesworthstone/frankentui,"Backend traits for FrankenTUI: platform abstraction for input, presentation, and time."
